Page ID,Section name,H1,Current URL,Current page path,New page path,Hierarchy level,Page type,Content section,Queries,Level of factual updates,HR owner (information provider and approver),Sitemap queries for HR,Additional migration instructions,Page template,Hide from nav,CMS preview,CMS edit
,How we present personal characteristics,,https://www.york.ac.uk/admin/hr/management-information/about/personal-characteristics/,/admin/hr/management-information/about/personal-characteristics/,/hr/managers/data/about/personal-characteristics/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,,answer-template-2017,FALSE,Preview,Edit
,Request access to HR management information,,https://www.york.ac.uk/admin/hr/management-information/about/request-access/,/admin/hr/management-information/about/request-access/,/hr/managers/data/about/request-access/,5,Online form,25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
,Athena Swan,,https://www.york.ac.uk/admin/hr/browse/management-information/athena-swan,/browse/management-information/athena-swan,/hr/managers/data/athena-swan,4,Index page,25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,,Browse listing page,FALSE,Preview,Edit
,"Mandatory data: Staff by grade, contract function and gender",,https://www.york.ac.uk/admin/hr/management-information/athena-swan/athena-swan-4-2-i/,/admin/hr/management-information/athena-swan/athena-swan-4-2-i/,/hr/managers/data/athena-swan/athena-swan-4-2-i/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,Staff by grade and gender on fixed-term and open-ended contracts (contract type),,https://www.york.ac.uk/admin/hr/management-information/athena-swan/athena-swan-4-2-ii/,/admin/hr/management-information/athena-swan/athena-swan-4-2-ii/,/hr/managers/data/athena-swan/athena-swan-4-2-ii/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,Leavers by grade and gender and full-/part-time status,,https://www.york.ac.uk/admin/hr/management-information/athena-swan/athena-swan-4-2-iii/,/admin/hr/management-information/athena-swan/athena-swan-4-2-iii/,/hr/managers/data/athena-swan/athena-swan-4-2-iii/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,Staff appointments by grade and gender,,https://www.york.ac.uk/admin/hr/management-information/athena-swan/athena-swan-5-1-i/,/admin/hr/management-information/athena-swan/athena-swan-5-1-i/,/hr/managers/data/athena-swan/athena-swan-5-1-i/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,"Academic promotion by grade, gender and contract mode",,https://www.york.ac.uk/admin/hr/management-information/athena-swan/athena-swan-5-1-iii/,/admin/hr/management-information/athena-swan/athena-swan-5-1-iii/,/hr/managers/data/athena-swan/athena-swan-5-1-iii/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,Department submissions to the Research Excellence Framework,,https://www.york.ac.uk/admin/hr/management-information/athena-swan/athena-swan-5-1-iv/,/admin/hr/management-information/athena-swan/athena-swan-5-1-iv/,/hr/managers/data/athena-swan/athena-swan-5-1-iv/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,Training uptake by grade and gender,,https://www.york.ac.uk/admin/hr/management-information/athena-swan/athena-swan-5-3-i/,/admin/hr/management-information/athena-swan/athena-swan-5-3-i/,/hr/managers/data/athena-swan/athena-swan-5-3-i/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,Athena Swan PDR uptake,,https://www.york.ac.uk/admin/hr/management-information/athena-swan/athena-swan-5-3-ii/,/admin/hr/management-information/athena-swan/athena-swan-5-3-ii/,/hr/managers/data/athena-swan/athena-swan-5-3-ii/,5,Information page,25 Managing teams and recruitment (information),None,Minor updates,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,Maternity return rate,,https://www.york.ac.uk/admin/hr/management-information/athena-swan/athena-swan-5-5-iv/,/admin/hr/management-information/athena-swan/athena-swan-5-5-iv/,/hr/managers/data/athena-swan/athena-swan-5-5-iv/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,"Paternity, shared parental, adoption, and parental leave uptake",,https://www.york.ac.uk/admin/hr/management-information/athena-swan/athena-swan-5-5-v/,/admin/hr/management-information/athena-swan/athena-swan-5-5-v/,/hr/managers/data/athena-swan/athena-swan-5-5-v/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,Notes on data,,https://www.york.ac.uk/admin/hr/management-information/athena-swan/notes-on-data/,/admin/hr/management-information/athena-swan/notes-on-data/,/hr/managers/data/athena-swan/notes-on-data/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,answer-template-2017,TRUE,Preview,Edit
,"Recruitment applications, shortlists and appointments by grade and gender",,https://www.york.ac.uk/admin/hr/management-information/athena-swan/recruitment-by-gender/,/admin/hr/management-information/athena-swan/recruitment-by-gender/,/hr/managers/data/athena-swan/recruitment-by-gender/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,Academic staff: external benchmarking,,https://www.york.ac.uk/admin/hr/management-information/athena-swan/staff-numbers-benchmarking/,/admin/hr/management-information/athena-swan/staff-numbers-benchmarking/,/hr/managers/data/athena-swan/staff-numbers-benchmarking/,5,Information page,25 Managing teams and recruitment (information),None,Fine as is,Anna Reader / Maria Ayaz,,,topic-template-2017,TRUE,Preview,Edit
,Casual workers,,https://www.york.ac.uk/admin/hr/browse/management-information/casual-workers,/browse/management-information/casual-workers,/hr/managers/data/casual-workers,4,Index page,25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,Link could be merged onto the main management information index page - very little content,,Browse listing page,FALSE,Preview,Edit
,Equality and diversity,,https://www.york.ac.uk/admin/hr/browse/management-information/equality-and-diversity,/browse/management-information/equality-and-diversity,/hr/managers/data/edi,4,Index page,25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,,Browse listing page,FALSE,Preview,Edit
,Gender pay gap,,https://www.york.ac.uk/admin/hr/management-information/equality-and-diversity/gender-pay-gap/,/admin/hr/management-information/equality-and-diversity/gender-pay-gap/,/hr/managers/data/edi/gender-pay-gap,5,Information page (non standard),25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,Tableau report embedded. Use the Embedded media content type.,topic-template-2017,FALSE,Preview,Edit
,"Job applicants by age, disability, ethnicity, gender and nationality",,https://www.york.ac.uk/admin/hr/management-information/equality-and-diversity/recruitment-protected-characteristics/,/admin/hr/management-information/equality-and-diversity/recruitment-protected-characteristics/,/hr/managers/data/edi/recruitment-protected-characteristics,5,Information page (non standard),25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,Tableau report embedded. Use the Embedded media content type.,topic-template-2017,FALSE,Preview,Edit
,"Staff numbers by age, disability, ethnicity, gender and nationality",,https://www.york.ac.uk/admin/hr/management-information/equality-and-diversity/staff-protected-characteristics/,/admin/hr/management-information/equality-and-diversity/staff-protected-characteristics/,/hr/managers/data/edi/staff-protected-characteristics,5,Information page (non standard),25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,Tableau report embedded. Use the Embedded media content type.,topic-template-2017,FALSE,Preview,Edit
,HR efficiency,,https://www.york.ac.uk/admin/hr/browse/management-information/hr-efficiency,/browse/management-information/hr-efficiency,/hr/managers/data/efficiency,4,Index page,25 Managing teams and recruitment (information),Query - general,Fine as is,Alex McFarlane,"Check whether the child pages should also be in the sitemap:
https://www.york.ac.uk/admin/hr/management-information/hr-efficiency/staff-data-refreshes/

https://www.york.ac.uk/admin/hr/management-information/hr-efficiency/hr-services/

https://www.york.ac.uk/admin/hr/management-information/hr-efficiency/ticket-numbers/",,Browse listing page,FALSE,Preview,Edit
,Learning and development,,https://www.york.ac.uk/admin/hr/browse/management-information/learning-and-development,/browse/management-information/learning-and-development,/hr/managers/data/learning-development,4,Index page,25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,,Browse listing page,FALSE,Preview,Edit
,Mandatory Training,,https://www.york.ac.uk/admin/hr/management-information/learning-and-development/mandatory-training/,/admin/hr/management-information/learning-and-development/mandatory-training/,/hr/managers/data/learning-development/mandatory-training,5,Information page (non standard),25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,Tableau report embedded. Use the Embedded media content type.,topic-template-2017,FALSE,Preview,Edit
,Asbestos Awareness,,https://www.york.ac.uk/admin/hr/management-information/learning-and-development/mandatory-training/asbestos-awareness/,/admin/hr/management-information/learning-and-development/mandatory-training/asbestos-awareness/,/hr/managers/data/learning-development/mandatory-training/asbestos-awareness,6,Information page (non standard),25 Managing teams and recruitment (information),None,Fine as is,Alex McFarlane,,Tableau report embedded. Use the Embedded media content type.,topic-template-2017,FALSE,Preview,Edit
